slug,label,figma_key,figma_path,type,default_value,scss_target,theme_json_target
button-secondary-font-size,Button secondary font size,,buttons.1.fontSize,rem,1.125rem,button-secondary-font-size,
button-secondary-font-weight,Button secondary font weight,,buttons.1.fontWeight,number,700,button-secondary-font-weight,
button-secondary-letter-spacing,Button secondary letter spacing,,,string,0.05em,button-secondary-letter-spacing,
button-secondary-text-transform,Button secondary text transform,,buttons.1.textTransform,string,uppercase,button-secondary-text-transform,
BREAKPOINTS,,,,,,,
breakpoint-desktop-xxl,Desktop XXL,,,px,1920px,breakpoint-desktop-xx-large,
breakpoint-desktop-xl,Desktop XL,,,px,1600px,breakpoint-desktop-x-large,
breakpoint-desktop-l,Desktop L,,,px,1440px,breakpoint-desktop-large,
breakpoint-desktop,Desktop,,,px,1024px,breakpoint-desktop,
breakpoint-tablet,Tablet,,,px,781px,breakpoint-tablet,
breakpoint-mobile,Mobile,,,px,500px,breakpoint-mobile,
